"MF","DOT","TSHIRT","n"
"Female","Blue","L",2
"Female","Blue","M",4
"Female","Blue","S",5
"Female","Blue","XS",4
"Female","Blue","XXL",3
"Female","Green","L",4
"Female","Green","M",4
"Female","Green","S",3
"Female","Green","XS",4
"Female","Green","XXL",3
"Female","Light Green","L",5
"Female","Light Green","M",4
"Female","Light Green","S",1
"Female","Light Green","XS",3
"Female","Light Green","XXL",4
"Female","Orange","L",2
"Female","Orange","M",3
"Female","Orange","S",4
"Female","Orange","XS",3
"Female","Orange","XXL",4
"Female","Pink","L",3
"Female","Pink","M",3
"Female","Pink","S",4
"Female","Pink","XS",3
"Female","Pink","XXL",4
"Female","Red","L",5
"Female","Red","M",2
"Female","Red","S",4
"Female","Red","XS",4
"Female","Red","XXL",3
"Female","Yellow","L",2
"Female","Yellow","M",5
"Female","Yellow","S",2
"Female","Yellow","XS",2
"Female","Yellow","XXL",4
"Male","Blue","L",2
"Male","Blue","M",2
"Male","Blue","S",2
"Male","Blue","XS",2
"Male","Blue","XXL",2
"Male","Green","L",2
"Male","Green","M",2
"Male","Green","S",2
"Male","Green","XS",2
"Male","Green","XXL",2
"Male","Orange","L",2
"Male","Orange","M",2
"Male","Orange","S",2
"Male","Orange","XS",2
"Male","Orange","XXL",2
"Male","Pink","L",2
"Male","Pink","M",2
"Male","Pink","S",2
"Male","Pink","XS",2
"Male","Pink","XXL",2
"Male","Red","L",2
"Male","Red","M",2
"Male","Red","S",2
"Male","Red","XS",2
"Male","Red","XXL",2
